Year|Country|Farmer|Characteristics|Predicted Score|True Score|Model Error|URL|latitude|longitude
2017|Brazil|HENRIQUE LEIVAS SLOPER DE ARAUJO|Red wine, dark fruit, concord grapes, banana, strawberryyogurt, candy, tropical fruit, mango, papaya, tamarind, rose, Complex, sweet, malic, tartaric, salty, butyric, red currant, soft peach, Big silky mouthfeel, creamy, guava nectar, cotton candy, quince jelly, |90.87999725341795|93.6|2.7200027465820256|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2017/|-14.235004|-51.92528
2012|Costa Rica|Juan Ramón Alvarado Alvarado|AROMA jasmine honeysuckle bergamot cinnamon patchouli,FLAVOR lime sweet lemon orange lemon milk chocolate tropical fruits lime zest, citric crisp effervescent sparkling, extremely complex multidimensional silky almond finish, |88.79000091552734|93.47|4.679999084472655|https://cupofexcellence.org/directory/wpbdp_category/costa-rica-2012/|9.748917|-83.753428
2018|Honduras|Fabio Antonio Caballero Martinez|Coffee blossom, honey, Perfumey, Mango, jasmine, cocoa nibs,, Refined acidity, delicate, malic, Elegant, velvety, syrupy,, |87.83999633789062|93.43|5.590003662109382|https://cupofexcellence.org/directory/wpbdp_category/honduras-2018/|15.199998999999998|-86.241905
2018|Honduras|Fabio Antonio Caballero Martinez|Coffee blossom, honey, Perfumey, Mango, jasmine, cocoa nibs,, Refined acidity, delicate, malic, Elegant, velvety, syrupy,, |87.83999633789062|93.43|5.590003662109382|https://cupofexcellence.org/directory/wpbdp_category/honduras-2018/|15.199998999999998|-86.241905
2016|Costa Rica|Francisco Alejandro Mena Vilchez|Passion fruit, honey, fruit basket, citric, stone fruit, peach, orange, juniper berry melons, guava, green apples, prune, apricot, cherries, chocolate, melted butter, sweet, Complex sweet, juicy, bright, sparkling, Creamy velvety, very consistent, transparent, silky mouthfeel, smooth, full body, |88.7300033569336|93.41|4.679996643066403|https://cupofexcellence.org/directory/wpbdp_category/costa-rica-2016/|9.748917|-83.753428
2016|Costa Rica|Francisco Alejandro Mena Vilchez|Passion fruit, honey, fruit basket, citric, stone fruit, peach, orange, juniper berry melons, guava, green apples, prune, apricot, cherries, chocolate, melted butter, sweet, Complex sweet, juicy, bright, sparkling, Creamy velvety, very consistent, transparent, silky mouthfeel, smooth, full body, |88.7300033569336|93.41|4.679996643066403|https://cupofexcellence.org/directory/wpbdp_category/costa-rica-2016/|9.748917|-83.753428
2014|Brazil|Antonio Rigno de Oliveira|caramel, floral mango, bergamot, peach passion fruit, tamarind figs, grapes, melon, orange, caramel, complex, phosphoric, refined, long finish complex attributes, brown sugar, molasses, consistent, silky mouthfeel, dried fruits, |89.58999633789062|93.36|3.7700036621093744|https://cupofexcellence.org/directory/wpbdp_category/brazil-pulped-naturals-2014/|-14.235004|-51.92528
2009|Bolivia|Mauricio Ramiro Diez de Medina|perfume, jasmine, violet, honeysuckle, spices, pineapple, melon, orange, black tea, cherry, rose, almond, peach, red wine, passionfruit, brisk, citric, tartaric, intense, floral, transparent, multidimensional, semisweet chocolate, vanilla, wellbalanced, jammy, complete, clove, longlasting, consistent, |91.55999755859376|93.36|1.8000024414062494|https://cupofexcellence.org/directory/wpbdp_category/bolivia-2009/|-16.290154|-63.588653
2018|Brazil|Maria do Carmo Andrade – Andrade Bros|raspberry, rose, blackberry, green apple, pineapple, passionfruit, banana, wine, cranberry and lemon, rhubarb, tart cherry, dense, nectarine, red fruit, almond and chocolate, floral, sugar candy, juicy, sweet and intense, lively, structured, juicy, passionfruit, pineapple, honey, coffee blossom, syrupy, lively, juicy, zapote fruit, strawberry, |89.45999908447266|93.26|3.8000009155273484|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2018/|-14.235004|-51.92528
2011|El Salvador|Ignacio Gutierrez Solis|orange, vanilla, lemon, chocolate, apricot, raisin, sugar cane, floral, cassis, lemonade, blackberry, red apple, tangerine, lime, nectarine, red grapes, Rainier cherries, butterscotch, jasmine, dark chocolate, figs, bright, crisp, distinctly tartaric, notes of lemon, very sweet and clean, rounded, silky, long finish, perfect structure, |89.37000274658203|93.19|3.8199972534179674|https://cupofexcellence.org/directory/wpbdp_category/el-salvador-2011/|13.794185|-88.89653
2013|Guatemala|El Injerto, S. A. / Arturo Aguirre|caramel, dark chocolate, fruits, honey, sugar browning, sweet, tangerine, grapefruit, orange, apricot, peach , jasmine, citriclemonorange, redgreen apple, tartaricgrapes, fruits, well balanced, creamy, smooth, silky, body, sweet, honey, caramel, juicy, lingering, smooth and delicate, aftertaste, |88.66000366210938|93.14|4.4799963378906265|https://cupofexcellence.org/directory/wpbdp_category/guatemala-2013/|15.783470999999999|-90.23075899999999
2019|Mexico|Cruz José Arguello Miceli|jasmine, bergamot, lemongrass, vanilla, honesuckle, orange, plum jam, perfumed, port wine, nougat, prune, lavendar, very sweet, malic, refined, malic and citric, delicate,, blueberry,well defined, transparent, juicy, complex, elegant, rhubarb, buttery, rich mouthfeel, taste held, |89.27999877929688|93.07|3.7900012207031186|https://cupofexcellence.org/directory/wpbdp_category/mexico-2019/|23.634501|-102.552784
2019|Mexico|Cruz José Arguello Miceli|jasmine, bergamot, lemongrass, vanilla, honesuckle, orange, plum jam, perfumed, port wine, nougat, prune, lavendar, very sweet, malic, refined, malic and citric, delicate,, blueberry,well defined, transparent, juicy, complex, elegant, rhubarb, buttery, rich mouthfeel, taste held, |89.27999877929688|93.07|3.7900012207031186|https://cupofexcellence.org/directory/wpbdp_category/mexico-2019/|23.634501|-102.552784
2015|Brazil|Edmo Junqueira Villela|Brown sugar caramel mango lychee strawberry mandarin orange peel grapefruit molasses grape soda apricot, Very complex refined tartaric grape citric malic very stable and transparent, Flavor and aroma all the way through very sweet and sophisticated full velvety body lots of fruit sugars, |88.73999786376953|93.0|4.260002136230469|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2015-january/|-14.235004|-51.92528
2015|Brazil|Maria Valeria Costa Pereira|Black currant, passion fruit, mango, sultan, raspberry, fruit salad, dark chocolate, cedar, Tartaric, structured, refined, consistent, malic, complex, Jammy, huge, bright, dense, viscous, mouth coating, |89.93000030517578|92.77|2.8399996948242148|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2015-dec/|-14.235004|-51.92528
2013|Honduras|Jorge Alberto Lanza Ruiz|apricot, plums, cherries, peach, mango, cinnamon, juicy jasmine, black current, strawberry, melon, umami, brown sugar, cassis, bloodorange, honey, fruit, elegant, complex, structured, balanced, grapefruit, black tea finish complex, long sweet aftertaste, good pithy, |89.56999969482422|92.75|3.180000305175781|https://cupofexcellence.org/directory/wpbdp_category/honduras-2013/|15.199998999999998|-86.241905
2009|Nicaragua|Maria Amparo Castellano Paguaga|bergamot, jasmine, mandarin, red fruits, tropical fruits, passion fruit, honey, pecan, coffee flowers, lychees, cinnamon, orchid fragrance, dark brown sugar, strong powerful, sweet lemon, fruity acidity, multidimensional, complex, thick body, big body, chewy, great cool, |90.62999725341795|92.75|2.1200027465820312|https://cupofexcellence.org/directory/wpbdp_category/nicaragua-2009/|12.865416|-85.207229
2019|Colombia|Paul Kevin Doyle|Peach, bergamot, vanilla, mango, chamomile, sprite, jasmine, aloe, pineapple, cranberry, peach blossom, kiwi, brown sugar, watermelon candy, Citric, complex, malic, Long sweet finish, Refreshing finish, silky, super clean, rich, very defined structure, |91.68000030517578|92.71|1.0299996948242125|https://cupofexcellence.org/directory/wpbdp_category/colombia-north-2019/|4.570868|-74.297333
2019|Colombia|Paul Kevin Doyle|Peach, bergamot, vanilla, mango, chamomile, sprite, jasmine, aloe, pineapple, cranberry, peach blossom, kiwi, brown sugar, watermelon candy, Citric, complex, malic, Long sweet finish, Refreshing finish, silky, super clean, rich, very defined structure, |91.68000030517578|92.71|1.0299996948242125|https://cupofexcellence.org/directory/wpbdp_category/colombia-north-2019/|4.570868|-74.297333
2014|Costa Rica|Luis Enrique Navarro Granados|caramel, milk chocolate, vanilla, floral toffee, plum, pear, apricot, spices, blackberries, melon, peach, jasmine, rum, brown sugar, green mango tangerine almonds, sugar cane, grape, candy, lemon, citric, phosphoric, balanced, effervescent, sparkling delicious, complex, well constructed, well designed, crisp juicy, transparent, super, lime zest, lingering finish, pungent, clean, |90.83999633789062|92.67|1.8300036621093767|https://cupofexcellence.org/directory/wpbdp_category/costa-rica-2014/|9.748917|-83.753428
2018|Honduras|Remiery Orlando Carvajal Guevara|Jasmine, honey, plum, cinnamon, rose, lemongrass, Structured, bright, well balanced, Elegant, molasseslike sweet finish, |88.1500015258789|92.64|4.489998474121093|https://cupofexcellence.org/directory/wpbdp_category/honduras-2018/|15.199998999999998|-86.241905
2018|Honduras|Remiery Orlando Carvajal Guevara|Jasmine, honey, plum, cinnamon, rose, lemongrass, Structured, bright, well balanced, Elegant, molasseslike sweet finish, |88.1500015258789|92.64|4.489998474121093|https://cupofexcellence.org/directory/wpbdp_category/honduras-2018/|15.199998999999998|-86.241905
2011|El Salvador|Adilia Encarnación Aguilar de Pullinger|blackcurrant, brown sugar, chocolate, ripe peach, cherry, jasmine, yoghurt, mango, peach, tropical fruits, guava, pineapple, strawberries, cucumber, dark chocolate, marshmallow, lemon, caramel, exceptional and complex fruit acidity, silky mouthfeel, long aftertaste, exquisite balance, |89.91000366210938|92.56|2.6499963378906277|https://cupofexcellence.org/directory/wpbdp_category/el-salvador-2011/|13.794185|-88.89653
2012|Guatemala|El Injerto, S. A.|Floral, Sweet, Caramel, Vanilla, Apricot, Jasmine, Peach, Blackcurrant, Black tea, Blueberry, Berries, Sweet, Lychee, Dark chocolate, Fruit, Honey, Wine, Brown sugar, Mango, Grape fruit, Caramel, Red apple, Swiss chocolate Orange, Grape, Complex, Lively, Bright, Malic, Apple, Soft, Citric, Intense, Lemon, Tartaric, Fruit, Orange, Mandarin, Juicy, Longlasting aftertaste, Round, Silky, Creamy, Well structured, Syrupy Refined, Delicate, Harmonious, Transparent, |90.6500015258789|92.47|1.8199984741210928|https://cupofexcellence.org/directory/wpbdp_category/guatemala-2012/|15.783470999999999|-90.23075899999999
2012|Nicaragua|Rodrigo Peralta Paguaga|AROMA floral, orange, coffee blossom, butter, caramel,FLAVOR spices, sweet lime, nutmeg, tangerine, pineapple, cherry, sugar cane, honey, distinctly tartaric, super clean and sweet, complete, balanced, |88.25|92.43|4.180000000000007|https://cupofexcellence.org/directory/wpbdp_category/nicaragua-2012/|12.865416|-85.207229
2008|Colombia|Eduardo Valencia|Aroma brown sugar , sugar cane , lavender , fruits , peach , butter , stone fruits , citrus , vanilla , orange cocoa , sweet tobacco , green apple , savory  Flavor complex , red wine , sugar cane cake , strawberry , jasmine , black currant , sweet citric , red currant , watermelon , tamarind , orange , hibiscus , rose hips  Mouthfeel long lasting aftertaste , complex , rich , elegant , syrupy , juicy , velvety , butter , soft , sweet , clean , bright , lively , Multi dimensional , wine , grape juice , clean and bright , |89.97000122070312|92.39|2.419998779296876|https://cupofexcellence.org/directory/wpbdp_category/colombia-south-2008/|4.570868|-74.297333
2017|Brazil|PAULO HENRIQUE MIRANDA|Toffee, caramel, strawberry, honey, vanilla toffee, coffee, molasses, buttery, brown sugar, pumpkin pie, cashew, mild chocolate, apricot, lemongrass, mango, green grapes plum, floral, Powerful, complex, coating, integrated, grape, fruit, lime, apricot, Transparency creamy, sticky sweet, dulce de leche, strawberry, peach, |89.06999969482422|92.37|3.300000305175786|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2017/|-14.235004|-51.92528
2017|Brazil|PAULO HENRIQUE MIRANDA|Toffee, caramel, strawberry, honey, vanilla toffee, coffee, molasses, buttery, brown sugar, pumpkin pie, cashew, mild chocolate, apricot, lemongrass, mango, green grapes plum, floral, Powerful, complex, coating, integrated, grape, fruit, lime, apricot, Transparency creamy, sticky sweet, dulce de leche, strawberry, peach, |89.06999969482422|92.37|3.300000305175786|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2017/|-14.235004|-51.92528
2017|Brazil|GABRIEL ALVES NUNES|papaya, strawberry, plum, winey, tropical fruits, mango, cranberry, prune, effervescent, complex, tartaric, malic and citric fruit acidity, cantaloupe, creamy guava aftertaste, sticky, moderate pleasant mouthfeel, tropical fruit jam, silky, berries, lemon, |89.12000274658203|92.33|3.209997253417967|https://cupofexcellence.org/directory/wpbdp_category/brazil-pulped-naturals-2017/|-14.235004|-51.92528
2017|Brazil|GABRIEL ALVES NUNES|papaya, strawberry, plum, winey, tropical fruits, mango, cranberry, prune, effervescent, complex, tartaric, malic and citric fruit acidity, cantaloupe, creamy guava aftertaste, sticky, moderate pleasant mouthfeel, tropical fruit jam, silky, berries, lemon, |89.12000274658203|92.33|3.209997253417967|https://cupofexcellence.org/directory/wpbdp_category/brazil-pulped-naturals-2017/|-14.235004|-51.92528
2013|Honduras|Miroslav Cuculiza|apple pie, tea rose, coffee blossoms, red current jelly watermelon, orange, peach, mandarin, elegant, transparent, red wine, juicy, clean coffee, well balanced, honey black tea, |89.56999969482422|92.31|2.7400003051757835|https://cupofexcellence.org/directory/wpbdp_category/honduras-2013/|15.199998999999998|-86.241905
2019|Peru|Grimanes Morales Lizana|Sweet potato, candied chestnut, raspberry, tropical fruits, jasmine, malt, cola nut, toasted marshmallow, sweet tobacco, black cherry, baked peached, cinnamon, papaya, mango, clove, Subtle acidity, effervescent, Creamy, exotic, very well balanced, juicy, well rounded, jasmine finish, |88.66999816894531|92.28|3.6100018310546886|https://cupofexcellence.org/directory/wpbdp_category/peru-2019/|-9.189967|-75.015152
2019|Peru|Grimanes Morales Lizana|Sweet potato, candied chestnut, raspberry, tropical fruits, jasmine, malt, cola nut, toasted marshmallow, sweet tobacco, black cherry, baked peached, cinnamon, papaya, mango, clove, Subtle acidity, effervescent, Creamy, exotic, very well balanced, juicy, well rounded, jasmine finish, |88.66999816894531|92.28|3.6100018310546886|https://cupofexcellence.org/directory/wpbdp_category/peru-2019/|-9.189967|-75.015152
2014|Brazil|Zora Yonara Macedo Pina Oliveira|lime, pear, baking spices, sweet spices, pineapple, apple cider, orange, peach, grape, floral, honey, vanilla, caramel, grape, sweet chocolate, tea note, citric, delicate, malic, lively transparent, bright, juicy, complex, long finish, round, clean, intense, multi dimensional, transparent, |88.0|92.26|4.260000000000005|https://cupofexcellence.org/directory/wpbdp_category/brazil-pulped-naturals-2014/|-14.235004|-51.92528
2017|Peru|Juan Heredia Sanchez|Green apple, pineapple, pear, rose, tropical fruit, strawberry, raspberry, dried fruits, orange candy, kumquat, apricot, melon, fig, sweet cheesecake, red jelly, improved on cool, Complex, sparkling, orange, acidity, intense,  elegant, apple cider, star fruit, Silky body, creamy, lingering sweetness, balanced, juicy, persimmon, mouthcoating, emotional coffee, harmonious, multidimensional, |90.98999786376952|92.25|1.2600021362304688|https://cupofexcellence.org/directory/wpbdp_category/peru-2017/|-9.189967|-75.015152
2019|Honduras|Roger Antonio Dominguez Marquez|Very expensive chocolate, violet flower, tropical fruit, alcohol, melon, winey, expensive wine, champagne, cocoa nibs, strawberry, cherries, tamarind, guava, Wine like, tartaric, refined, complex, delicate, malic, very clean, Rum, juicy, long finish, round, rich, jammy, high sweetness, full body, |91.29000091552734|92.25|0.9599990844726562|https://cupofexcellence.org/directory/wpbdp_category/honduras-2019/|15.199998999999998|-86.241905
2019|Honduras|Roger Antonio Dominguez Marquez|Very expensive chocolate, violet flower, tropical fruit, alcohol, melon, winey, expensive wine, champagne, cocoa nibs, strawberry, cherries, tamarind, guava, Wine like, tartaric, refined, complex, delicate, malic, very clean, Rum, juicy, long finish, round, rich, jammy, high sweetness, full body, |91.29000091552734|92.25|0.9599990844726562|https://cupofexcellence.org/directory/wpbdp_category/honduras-2019/|15.199998999999998|-86.241905
2017|Peru|Juan Heredia Sanchez|Green apple, pineapple, pear, rose, tropical fruit, strawberry, raspberry, dried fruits, orange candy, kumquat, apricot, melon, fig, sweet cheesecake, red jelly, improved on cool, Complex, sparkling, orange, acidity, intense,  elegant, apple cider, star fruit, Silky body, creamy, lingering sweetness, balanced, juicy, persimmon, mouthcoating, emotional coffee, harmonious, multidimensional, |90.98999786376952|92.25|1.2600021362304688|https://cupofexcellence.org/directory/wpbdp_category/peru-2017/|-9.189967|-75.015152
2019|Brazil|André Luis Aguila Ribeiro|passion fruit, white nectarine, watermelon, guava, honey, pineapple, tropical, black currant, molasses, dark fruit positive, sweet, cinnamon, anise, black licorice, brown sugar, refined, bright, citric, vibrant, multidimensional, expansive, improved on cool, creamy, well balanced, composed, elegant, |90.5999984741211|92.23|1.6300015258789102|https://cupofexcellence.org/directory/wpbdp_category/brazil-2019/|-14.235004|-51.92528
2019|Brazil|André Luis Aguila Ribeiro|passion fruit, white nectarine, watermelon, guava, honey, pineapple, tropical, black currant, molasses, dark fruit positive, sweet, cinnamon, anise, black licorice, brown sugar, refined, bright, citric, vibrant, multidimensional, expansive, improved on cool, creamy, well balanced, composed, elegant, |90.5999984741211|92.23|1.6300015258789102|https://cupofexcellence.org/directory/wpbdp_category/brazil-2019/|-14.235004|-51.92528
2014|Brazil|Cinthia Dias Villela|vanilla, berry lychee, passion fruit, peach, cassis, grape, red fruits, apple, honey, cherry, raspberry, cinnamon, floral, perfume, strawberry, wine, complex fruit multi dimensional ripe banana, crisp acidity, milky body, prolonged aftertaste, sugar cane, mouth coating, layered, balanced, elegant, complex, round, clean approachable, |90.62999725341795|92.22|1.59000274658203|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2014/|-14.235004|-51.92528
2019|Colombia|Linarco Rodriguez Ospina|Mango, peach, sugar cane, gooseberries, jasmine, orange, green tea, tropical fruit, honey, banana, toffee, molasses, Tartaric, malic, Super clean, bursting acidity, complex, earl grey tea, |88.87999725341797|92.18|3.3000027465820376|https://cupofexcellence.org/directory/wpbdp_category/colombia-north-2019/|4.570868|-74.297333
2019|Colombia|Linarco Rodriguez Ospina|Mango, peach, sugar cane, gooseberries, jasmine, orange, green tea, tropical fruit, honey, banana, toffee, molasses, Tartaric, malic, Super clean, bursting acidity, complex, earl grey tea, |88.87999725341797|92.18|3.3000027465820376|https://cupofexcellence.org/directory/wpbdp_category/colombia-north-2019/|4.570868|-74.297333
2019|Brazil|Leonardo Montesanto Tavares|floral, peach, spicy, strawberries, papaya, ginger, jasmine, orange, yogurt, black tea, blueberries, papaya, mango, guava, bright and lively and complex, sweet lime, green tea, heavy and dense, sparkling, nectar, exotic, silky mouthfeel, everlasting, sweet, honey sweet, very consistent, |89.87000274658203|92.15|2.2799972534179744|https://cupofexcellence.org/directory/wpbdp_category/brazil-2019/|-14.235004|-51.92528
2014|Honduras|Lucinda Vasquez Romero|cherry, jasmine, rose petal, lavender, spicy, persimmon, floral, juicy lime, passionfruit, elegant, candied sweetness, complex fruit, tartaric, citric malic big, fresh fruits, very sweet, clean all the way through from start to finish, fragrant, consistent, rosehip, hibiscus, |88.77999877929688|92.15|3.3700012207031307|https://cupofexcellence.org/directory/wpbdp_category/honduras-2014/|15.199998999999998|-86.241905
2019|Brazil|Leonardo Montesanto Tavares|floral, peach, spicy, strawberries, papaya, ginger, jasmine, orange, yogurt, black tea, blueberries, papaya, mango, guava, bright and lively and complex, sweet lime, green tea, heavy and dense, sparkling, nectar, exotic, silky mouthfeel, everlasting, sweet, honey sweet, very consistent, |89.87000274658203|92.15|2.2799972534179744|https://cupofexcellence.org/directory/wpbdp_category/brazil-2019/|-14.235004|-51.92528
2013|Brazil|Jesimar de Oliveira Sandi|AROMA blueberry, dried banana, strawberry, raspberry jam, apricot FLAVOR strawberry, peach, stone fruit, papaya, molasses, mango, honey, berries, mandarin, pomegranate, sparkling, snappy, perfectly balanced, mandarin, creamy, mouthfeel, |86.98999786376953|92.13|5.140002136230464|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2013/|-14.235004|-51.92528
2015|Brazil|Antonio Jose Junqueira Villela|Citrus white pepper orange peach papaya dried pineapple raspberry stone fruit brown sugar wine, Very bright brilliant but also very transparent complex citric grape tartaric, Very stable coffee heavy body solid foundation and long, sweet finish date and raisin finish very elegant, |89.48999786376953|92.11|2.620002136230468|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2015-january/|-14.235004|-51.92528
2016|Guatemala|Castillo Cerezo, Pompeyo|Floral, Lemon, Grape, Green apple, Honey, Jasmine, Melon, Peach, Plum, Red apple, Citric, Complex, Malic, Red apple, Refined, Tartaric, Juicy, Longlasting, Smooth, Well balanced, Creamy, Smooth, Improved as it cools, Honey, Juicy, Sweet, |89.44999694824219|92.09|2.640003051757816|https://cupofexcellence.org/directory/wpbdp_category/guatemala-2016/|15.783470999999999|-90.23075899999999
2016|Guatemala|Castillo Cerezo, Pompeyo|Floral, Lemon, Grape, Green apple, Honey, Jasmine, Melon, Peach, Plum, Red apple, Citric, Complex, Malic, Red apple, Refined, Tartaric, Juicy, Longlasting, Smooth, Well balanced, Creamy, Smooth, Improved as it cools, Honey, Juicy, Sweet, |89.44999694824219|92.09|2.640003051757816|https://cupofexcellence.org/directory/wpbdp_category/guatemala-2016/|15.783470999999999|-90.23075899999999
2013|Brazil|Marisa Coli Noronha|extremely sweet, floral, fruit, honey, peach, apricot, jasmine, orange, perfect combination between floral and fruit, blackberry, cherry, complex acidity, bright, very well balanced, malic, tartaric, creamy, long after taste, lemon finish, complete coffee, transparent, |90.0999984741211|92.09|1.9900015258789097|https://cupofexcellence.org/directory/wpbdp_category/brazil-pulped-naturals-2013/|-14.235004|-51.92528
2008|Rwanda|Uwimana Rose|Aroma  wild honey , fruit candy , caramel , sweet vanilla , jasmine , orange , floral , cherry , cane sugar , toffee , lemon  Flavor  cane sugar , green orange , peach, green apple , caramel , white peach , orange blossom , myer lemon , sweet lemon , grapes  Mouthfeel  syrupy , long finish , buttery , juicy , creamy , delicate , complex , very sweet , clean , well balanced , tartaric , sparkling  Massively sweet, graceful, |90.08000183105469|92.07|1.9899981689453057|https://cupofexcellence.org/directory/wpbdp_category/rwanda-2008/|-1.940278|29.873888
2015|El Salvador|Ignacio Gutierrez Solis|Chocolate, cinnamon, honey, caramel, jasmine, sugar cane, green apple, herbal, strawberry, blueberry, perfume, banana, spicy, dried plums, orange, pineapple, tropical fruits, grapefruit, tYellow, mango, peach, lemongrass, Malic, citric, tartaric, crisp, bright, citrus, Super sweet, smooth, creamy, juicy, round, silky, buttery, refined, sparkling, |88.62000274658203|92.06|3.439997253417971|https://cupofexcellence.org/directory/wpbdp_category/el-salvador-2015/|13.794185|-88.89653
2018|Brazil|Robson Vilela Martins|canned peach, passionfruit, concord grape, melon, pineapple, mango, orange juice, red grape, caramel, plum and cinnamon, vanilla, jasmine, bergamot, stone fruit, superb, crisp, tartaric, savory, malted, caramel, robust body, cassis, complex, delicate, apriocot, guava, long finish aftertaste, cocoa, hoppy, |89.58000183105469|92.06|2.4799981689453148|https://cupofexcellence.org/directory/wpbdp_category/brazil-naturals-2018/|-14.235004|-51.92528
