Characteristics,Score
"AROMA: jasmine honeysuckle bergamot cinnamon patchouli,FLAVOR: lime sweet lemon orange lemon milk chocolate tropical fruits lime zest, citric crisp effervescent sparkling , extremely complex multi-dimensional silky almond finish",93.47
"Coffee blossom, honey, Perfumey, Mango, jasmine, cocoa nibs,, Refined acidity, delicate, malic , Elegant, velvety, syrupy,",93.43
"Coffee blossom, honey, Perfumey, Mango, jasmine, cocoa nibs,, Refined acidity, delicate, malic , Elegant, velvety, syrupy,",93.43
"Passion fruit, honey, fruit basket, citric, stone fruit, peach, orange, juniper berry melons, guava, green apples, prune, apricot, cherries, chocolate, melted butter, sweet, Complex sweet, juicy, bright, sparkling , Creamy velvety, very consistent, transparent, silky mouthfeel, smooth, full body",93.41
"Passion fruit, honey, fruit basket, citric, stone fruit, peach, orange, juniper berry melons, guava, green apples, prune, apricot, cherries, chocolate, melted butter, sweet, Complex sweet, juicy, bright, sparkling , Creamy velvety, very consistent, transparent, silky mouthfeel, smooth, full body",93.41
"perfume, jasmine, violet, honeysuckle, spices, pineapple, melon, orange, black tea, cherry, rose, almond, peach, red wine, passionfruit, brisk, citric, tartaric, intense, floral, transparent, multi-dimensional , semi-sweet chocolate, vanilla, well-balanced, jammy, complete, clove, long-lasting, consistent",93.36
"caramel, floral mango, bergamot, peach passion fruit, tamarind figs, grapes, melon, orange, caramel, complex, phosphoric, refined , long finish* complex attributes, brown sugar, molasses, consistent, silky mouthfeel, dried fruits",93.36
"raspberry, rose, blackberry, green apple, pineapple, passionfruit, banana, wine, cranberry and lemon, rhubarb, tart cherry, dense, nectarine, red fruit, almond and chocolate, floral, sugar candy, juicy, sweet and intense, lively, structured, juicy , passionfruit, pineapple, honey, coffee blossom, syrupy, lively, juicy, zapote fruit, strawberry",93.26
"orange, vanilla, lemon, chocolate, apricot, raisin, sugar cane, floral, cassis, lemonade, blackberry, red apple, tangerine, lime, nectarine, red grapes, Rainier cherries, butterscotch, jasmine, dark chocolate, figs, bright, crisp, distinctly tartaric, notes of lemon , very sweet and clean, rounded, silky, long finish, perfect structure",93.19
"caramel, dark chocolate, fruits, honey, sugar browning, sweet, tangerine, grapefruit, orange, apricot, peach , jasmine, citric/lemon/orange, red-green apple, tartaric/grapes, fruits , well balanced, creamy, smooth, silky, body, sweet, honey, caramel, juicy, lingering, smooth and delicate, aftertaste",93.14
"jasmine, bergamot, lemongrass, vanilla, honesuckle, orange, plum jam, perfumed, port wine, nougat, prune, lavendar, very sweet, malic, refined, malic and citric, delicate, , blueberry,well defined, transparent, juicy, complex, elegant, rhubarb, buttery, rich mouthfeel, taste held.",93.07
"jasmine, bergamot, lemongrass, vanilla, honesuckle, orange, plum jam, perfumed, port wine, nougat, prune, lavendar, very sweet, malic, refined, malic and citric, delicate, , blueberry,well defined, transparent, juicy, complex, elegant, rhubarb, buttery, rich mouthfeel, taste held.",93.07
"Brown sugar; caramel; mango; lychee; strawberry; mandarin; orange peel; grapefruit; molasses; grape soda; apricot, Very complex; refined; tartaric; grape; citric; malic; very stable and transparent , Flavor and aroma all the way through; very sweet and sophisticated; full velvety body; lots of fruit sugars",93
"Black currant, passion fruit, mango, sultan, raspberry, fruit salad, dark chocolate, cedar, Tartaric, structured, refined, consistent, malic, complex , Jammy, huge, bright, dense, viscous, mouth coating",92.77
"bergamot, jasmine, mandarin, red fruits, tropical fruits, passion fruit, honey, pecan, coffee flowers, lychees, cinnamon, orchid fragrance, dark brown sugar, strong powerful, sweet lemon, fruity acidity , multidimensional, complex, thick body, big body, chewy, great cool",92.75
"apricot, plums, cherries, peach, mango, cinnamon, juicy jasmine, black current, strawberry, melon, umami, brown sugar, cassis, blood-orange, honey, fruit, elegant, complex, structured, balanced, grapefruit , black tea finish complex, long- sweet aftertaste, good pithy",92.75
"Peach, bergamot, vanilla, mango, chamomile, sprite, jasmine, aloe, pineapple, cranberry, peach blossom, kiwi, brown sugar, watermelon candy, Citric, complex, malic , Long sweet finish, Refreshing finish, silky, super clean, rich, very defined structure",92.71
"Peach, bergamot, vanilla, mango, chamomile, sprite, jasmine, aloe, pineapple, cranberry, peach blossom, kiwi, brown sugar, watermelon candy, Citric, complex, malic , Long sweet finish, Refreshing finish, silky, super clean, rich, very defined structure",92.71
"caramel, milk chocolate, vanilla, floral toffee, plum, pear, apricot, spices, blackberries, melon, peach, jasmine, rum, brown sugar, green mango tangerine almonds, sugar cane, grape, candy, lemon, citric, phosphoric, balanced, effervescent, sparkling delicious , complex, well constructed, well designed, crisp juicy, transparent, super, lime zest, lingering finish, pungent, clean",92.67
"Jasmine, honey, plum, cinnamon, rose, lemongrass, Structured, bright, well balanced , Elegant, molasses-like sweet finish",92.64
"Jasmine, honey, plum, cinnamon, rose, lemongrass, Structured, bright, well balanced , Elegant, molasses-like sweet finish",92.64
"blackcurrant, brown sugar, chocolate, ripe peach, cherry, jasmine, yoghurt, mango, peach, tropical fruits, guava, pineapple, strawberries, cucumber, dark chocolate, marshmallow, lemon, caramel, exceptional and complex fruit acidity , silky mouthfeel, long aftertaste, exquisite balance",92.56
"Floral, Sweet, Caramel, Vanilla, Apricot, Jasmine, Peach, Blackcurrant, Black tea, Blueberry, Berries, Sweet, Lychee, Dark chocolate, Fruit, Honey, Wine, Brown sugar, Mango, Grape fruit, Caramel, Red apple, Swiss chocolate Orange, Grape, Complex, Lively, Bright, Malic, Apple, Soft, Citric, Intense, Lemon, Tartaric, Fruit, Orange, Mandarin , Juicy, Long-lasting aftertaste, Round, Silky, Creamy, Well structured, Syrupy. Refined, Delicate, Harmonious, Transparent",92.47
"AROMA: floral, orange, coffee blossom, butter, caramel,FLAVOR: spices, sweet lime, nutmeg, tangerine, pineapple, cherry, sugar cane, honey, distinctly tartaric , super clean and sweet, complete, balanced",92.43
"Toffee, caramel, strawberry, honey, vanilla toffee, coffee, molasses, buttery, brown sugar, pumpkin pie, cashew, mild chocolate, apricot, lemongrass, mango, green grapes plum, floral., Powerful, complex, coating, integrated, grape, fruit, lime, apricot. , Transparency creamy, sticky sweet, dulce de leche, strawberry, peach.",92.37
"Toffee, caramel, strawberry, honey, vanilla toffee, coffee, molasses, buttery, brown sugar, pumpkin pie, cashew, mild chocolate, apricot, lemongrass, mango, green grapes plum, floral., Powerful, complex, coating, integrated, grape, fruit, lime, apricot. , Transparency creamy, sticky sweet, dulce de leche, strawberry, peach.",92.37
"papaya, strawberry, plum, winey, tropical fruits, mango, cranberry, prune., effervescent, complex, tartaric, malic and citric fruit acidity, cantaloupe. , creamy. guava aftertaste, sticky, moderate pleasant mouthfeel, tropical fruit jam, silky, berries, lemon.",92.33
"papaya, strawberry, plum, winey, tropical fruits, mango, cranberry, prune., effervescent, complex, tartaric, malic and citric fruit acidity, cantaloupe , creamy. guava aftertaste, sticky, moderate pleasant mouthfeel, tropical fruit jam, silky, berries, lemon",92.33
"apple pie, tea rose, coffee blossoms, red current jelly watermelon, orange, peach, mandarin, elegant , transparent, red wine, juicy, clean coffee, well balanced, honey black tea",92.31
"lime, pear, baking spices, sweet spices, pineapple, apple cider, orange, peach, grape, floral, honey, vanilla, caramel, grape, sweet chocolate, tea note, citric, delicate, malic, lively transparent, bright, juicy, complex , long finish, round, clean, intense, multi dimensional, transparent",92.26
"Very expensive chocolate, violet flower, tropical fruit, alcohol, melon, winey, expensive wine, champagne, cocoa nibs, strawberry, cherries, tamarind, guava, Wine like, tartaric, refined, complex, delicate, malic, very clean , Rum, juicy, long finish, round, rich, jammy, high sweetness, full body",92.25
"Very expensive chocolate, violet flower, tropical fruit, alcohol, melon, winey, expensive wine, champagne, cocoa nibs, strawberry, cherries, tamarind, guava, Wine like, tartaric, refined, complex, delicate, malic, very clean , Rum, juicy, long finish, round, rich, jammy, high sweetness, full body",92.25
"Green apple, pineapple, pear, rose, tropical fruit, strawberry, raspberry, dried fruits, orange candy, kumquat, apricot, melon, fig, sweet cheesecake, red jelly, improved on cool., Complex, sparkling, orange, acidity, intense, 8+ elegant, apple cider, star fruit. , Silky body, creamy, lingering sweetness, balanced, juicy, persimmon, mouthcoating, emotional coffee, harmonious, multidimensional.",92.25
"Green apple, pineapple, pear, rose, tropical fruit, strawberry, raspberry, dried fruits, orange candy, kumquat, apricot, melon, fig, sweet cheesecake, red jelly, improved on cool., Complex, sparkling, orange, acidity, intense, 8+ elegant, apple cider, star fruit , Silky body, creamy, lingering sweetness, balanced, juicy, persimmon, mouthcoating, emotional coffee, harmonious, multidimensional.",92.25
"Mango, peach, sugar cane, gooseberries, jasmine, orange, green tea, tropical fruit, honey, banana, toffee, molasses, Tartaric, malic , Super clean, bursting acidity, complex, earl grey tea",92.18
"Mango, peach, sugar cane, gooseberries, jasmine, orange, green tea, tropical fruit, honey, banana, toffee, molasses, Tartaric, malic , Super clean, bursting acidity, complex, earl grey tea",92.18
"cherry, jasmine, rose petal, lavender, spicy, persimmon, floral, juicy lime, passionfruit, elegant, candied sweetness, complex fruit, tartaric, citric malic big, fresh fruits , very sweet, clean all the way through from start to finish, fragrant, consistent, rosehip, hibiscus",92.15
"AROMA: blueberry, dried banana, strawberry, raspberry jam, apricot FLAVOR: strawberry, peach, stone fruit, papaya, molasses, mango, honey, berries, mandarin, pomegranate, sparkling, snappy, perfectly balanced, mandarin , creamy, mouthfeel",92.13
"Citrus; white pepper; orange; peach; papaya; dried pineapple; raspberry; stone fruit; brown sugar; wine, Very bright; brilliant but also very transparent; complex; citric; grape; tartaric , Very stable coffee; heavy body; solid foundation and long, sweet finish; date and raisin finish; very elegant",92.11
"Floral, Lemon, Grape, Green apple, Honey, Jasmine, Melon, Peach, Plum, Red apple, Citric, Complex, Malic, Red apple, Refined, Tartaric , Juicy, Long-lasting, Smooth, Well balanced, Creamy, Smooth, Improved as it cools, Honey, Juicy, Sweet",92.09
"Floral, Lemon, Grape, Green apple, Honey, Jasmine, Melon, Peach, Plum, Red apple, Citric, Complex, Malic, Red apple, Refined, Tartaric , Juicy, Long-lasting, Smooth, Well balanced, Creamy, Smooth, Improved as it cools, Honey, Juicy, Sweet",92.09
"extremely sweet, floral, fruit, honey, peach, apricot, jasmine, orange, perfect combination between floral and fruit, blackberry, cherry, complex acidity, bright, very well balanced, malic, tartaric , creamy, long after taste, lemon finish, complete coffee, transparent",92.09
"Chocolate, cinnamon, honey, caramel, jasmine, sugar cane, green apple, herbal, strawberry, blueberry, perfume, banana, spicy, dried plums, orange, pineapple, tropical fruits, grapefruit, tYellow, mango, peach, lemongrass, Malic, citric, tartaric, crisp, bright, citrus , Super sweet, smooth, creamy, juicy, round, silky, buttery, refined, sparkling",92.06
"canned peach, passionfruit, concord grape, melon, pineapple, mango, orange juice, red grape, caramel, plum and cinnamon, vanilla, jasmine, bergamot, stone fruit, superb, crisp, tartaric, savory , malted, caramel, robust body, cassis, complex, delicate, apriocot, guava, long finish aftertaste, cocoa, hoppy",92.06
"black currant, ripe prunes, blackberry, jasmine, rose, peach, floral, cherry, mango, passionfruit, cedar, tobacco, honey, sugar cane, lively, brilliant, currant-like, effervescent, alive, grapefruit-like, clean , translucent, violet, rounded, complete, viscous, structured, complex",92.05
"floral, orange, peach, mango, black tea, jasmine, rose, papaya, cherry, watermelon, green apple, floral,, citric malic, juicy, complex , lingering flavor in finish, saturated flavors, smooth, silky, round, elegant, raspberry",92
"floral, orange, peach, mango, black tea, jasmine, rose, papaya, cherry, watermelon, green apple, floral,, citric malic, juicy, complex , lingering flavor in finish, saturated flavors, smooth, silky, round, elegant, raspberry",92
"prune, dark chocolate and red wine, floral, perfume, hibiscus spearmint, honey dew, passion fruit, vanilla-peach combination mandarin orange, explosive flavor, bright, big, brisk, with spine. grapefruit good structure, clean clear acidity , Big depth, multi dimensional, jasmine, complex, syrupy long aftertatse",91.98
"jasmine, sugar cane, green apple, guava, mango, peach, apricot, lychee, star fruit, bergamot, strawberry, milk chocolate ice cream, roasted nuts, bright, raspberry, clean, elegant , pear, jasmine, long finish, velvety, creamy body, long finish, green apple, papaya, mango, honey, floral, elegant body",91.91
"Pineapple, mandarin, apricot, orange zest, sugar cane, floral., Tangy, winy, citric, winy, mellow, bright. , Red wine, passion fruit, exotic, crystal clear, amaretto aftertaste, creamy, complex.",91.87
"pineapple, mandarin, apricot, orange zest, sugar cane, floral, tangy, winy, citric, winy, mellow, bright , red wine, passion fruit, exotic, crystal clear, amaretto aftertaste, creamy, complex,",91.87
"Champagne, grape, floral, raspberry, honey, jasmine, green tea, passionfruit, raisin, lychee, black currant, molasses, cedar, berries, Well rounded, complex, juicy, structured, bright , Buttery body, creamy and smooth, finish with caramel notes, tamarind",91.84
"Champagne, grape, floral, raspberry, honey, jasmine, green tea, passionfruit, raisin, lychee, black currant, molasses, cedar, berries, Well rounded, complex, juicy, structured, bright , Buttery body, creamy and smooth, finish with caramel notes, tamarind",91.84
"caramel, sweet, delicate, elegant, floral, orange, passion fruit syrupy, champagne, red wine, berries, Bordeaux, champagne-like, balanced with sweetness, subtle, gentle, apple, complex, lively , structure with spine, satiny syrupy body, multidimensional, fantastic aftertaste, creamy body, velvety mouth feel, perfect balance",91.83
"honey, jasmine, grape, honey, lemon peel, papaya, honeysuckle, acidity, green apples concord grapes, structures, bergamot, perfume. , pineapple, complex, nectar, dry wine, finish rose hips. floral",91.81
"honey, jasmine, grape, honey, lemon peel, papaya, honeysuckle, acidity, green apples concord grapes, structures, bergamot, perfume , pineapple, complex, nectar, dry wine, finish rose hips. floral",91.81
"maracuya, melon, red wine, mango, raisin, green apple, cherry, cider, prune, stewed strawberries, and stewed fruit, complex, floral, tartaric, and juicy. , maple syrup, winey, and effervescent",91.8
"maracuya, melon, red wine, mango, raisin, green apple, cherry, cider, prune, stewed strawberries, and stewed fruit, complex, floral, tartaric, and juicy. , maple syrup, winey, and effervescent",91.8
"Floral, sugar cane, rose, vanilla, savory, peach, citrus, jasmine, Citric, malic, refined, complex , Transparent, silky, harmonious, smooth",91.8
"Floral, sugar cane, rose, vanilla, savory, peach, citrus, jasmine, Citric, malic, refined, complex , Transparent, silky, harmonious, smooth",91.8
"cherry, lime, vanilla, fresh cream, grapefruit, floral, citrus, pear, lime, grapefruit, tangy orange, cherry, lime, vanilla, Muscat grape, apple, malic, sparkling, tartaric, lively, cherry, lemon , incredibly sweet, juicy, balanced, syrupy, smooth mouthfeel, consistent",91.72
"Cherry blossoms, rose, strawberry lemonade, lemon curd, peach, wild rose coriander seed, papaya, lemongrass, red wine, jasmine., Lively, juicy malic, bright, crisp vibrant , Long, jammy finish, champagne finish, silky",91.7
"Cherry blossoms, rose, strawberry lemonade, lemon curd, peach, wild rose coriander seed, papaya, lemongrass, red wine, jasmine., Lively, juicy malic, bright, crisp vibrant , Long, jammy finish, champagne finish, silky",91.7
"Flavor-/Aroma Floral, sweet tobacco, sweet lemon, coconut-caramel Mixed fruits, black cherry, Complex citrus, raspberry, juicy, sweet lemon, firm acidity , Syrupy body, mouth clinging and smooth, very very clean, strawberry aftertaste",91.68
"Melon, honey, strawberry, apricot, cranberry, sugar cane, lime, mandarin, orange, mangosteen, jasmine, kiwi, raspberry, Refined, complex, multidimensional , Super juicy, very consistent, great balance, super clean",91.66
"Melon, honey, strawberry, apricot, cranberry, sugar cane, lime, mandarin, orange, mangosteen, jasmine, kiwi, raspberry, Refined, complex, multidimensional , Super juicy, very consistent, great balance, super clean",91.66
"floral, bouquet, tangerine, watermelon, papaya, fruit punch caramel, white peach, apricot, Japanese dark cherry, red fruits, malic, citric, lively, bright, complex, refined, integrated, well structured, alive , sensitive aftertaste, multidimensional, sweet luxurious, silky, juicy, creamy",91.66
"Orange, strawberry, pineapple, tangerine, marshmallow, green grape, lemon grass, cherry blossom, Citric, complex , Sugar cane, very clean, delicate, creamy, juicy, refined",91.65
"floral, jasmine, passionfruit, mango, green apple, blackberry, plum, peach, coffee cherry, butter, spice, apricot, cherry, honey, caramel, red currant-like, crisp, juicy, grape-like , clarity, silky body, creamy mouthfeel, black currant-like",91.62
"cake, white wine Melon, hibiscus, white grape, machine cherry, black cherry passion, manor peach, bright complex, , aftertaste, creamy mf, balance, perfectly, fruit in aftertaste, sugar cane, all through hot to cold, better as cool",91.62
"cake, white wine Melon, hibiscus, white grape, machine cherry, black cherry passion, manor peach, bright complex, , aftertaste, creamy mf, balance, perfectly, fruit in aftertaste, sugar cane, all through hot to cold, better as cool",91.62
"Meyer lemon, bergamot, golden currant, jasmine, caramel, roses, tropical fruits, sugarcane, berry, spice, Refined, transparent, complex, bright, crisp, structured , Smooth, silky, velvety, bright, exotic",91.6
"Meyer lemon, bergamot, golden currant, jasmine, caramel, roses, tropical fruits, sugarcane, berry, spice, Refined, transparent, complex, bright, crisp, structured , Smooth, silky, velvety, bright, exotic",91.6
"green apple, tropical fruit, peach, vanilla, pecan, papaya, hot wine raisins, honey, grapefruit, passion fruit, black currant, black cherry, malic, complex, complex fruit, crisp , complex, long sweet aftertaste, buttery, juicy, balanced acidity, and sweetness, super sweet layered",91.59
"Chocolate, jasmine, caramel, vanilla, floral, violet, honey, cinnamon, almond, “dulce acaramelado, sugar cane, vanilla bean, blackcurrant, ribena, blackberry, black currant, red wine, orange, cranberry, cedar, blackberry, dessert wine, Malic, tartaric, complex, green apple, citrus, bright, crisp, sparkling, complex, red apple , Velvety, silky, smooth, creamy, round, clean, long after taste, bright, great coffee",91.59
"jasmine, black current, grape, plum, blackberry, chocolate, dark fruit, apricot, cherry, toffee-fudge, vanilla, brown sugar, malted chocolate, papaya, tamarind, complex, tropical orange, mango, tangy, complex acidity , crystal clean, silky, long aftertaste",91.56
"fruity, cedar, walnut, fig, plum, toffee, molasses, floral, rose tea, licorice, wild blackberry, maple syrup sweetness, candied fruit, citric, developed – brightened as cooled, effervescent , good structure, pure, sugary, transparent, clean, harmonious, smooth – mouth-expanding body",91.53
"blueberry, coffee blossom, mango, hazel, minty, honey, jasmine, tangerine, rose, bright, complex, fruit, spine, refined , crisp, juicy, transparent, delicate well balanced, maraschino cherries.Body: syrup, silky, velvety, creamy",91.47
"Dried fruit, white grapes, date, plum, toffee, vanilla, brown sugar, rose, fig, pineapple , wine, grapefruit, spiced plums, Tartaric, malic, brilliant , Perfect balance, super sweet and fruity, sweet long finish, creamy",91.46
"anise, jasmine, melon, cherry, floral, rose, orange, lime, kiwi, raspberry, toffee, grapefruit, bright, lively, very clean, transparent, tangy , round, smooth, lingering sweet finish, buttery, crystal clean, juicy",91.45
" jasmine, green apple, fruit, lime, raspberry, tea rose cedar, vanilla, pineapple, caramel, sweet tobacco, dark fruit, cassis, maple sugar, dark chocolate, chianti, sparkling, crisp, bright, citric, snappy finish, effervescent, transparent, racy , juicy, fat, concentrated creamy mouth feel, peach, light anise",91.45
"Chocolate, caramel, spice, peach, herbal, jasmine, honey, rasperry, jasmine, apricot, cedar, raisin, strawberry, grape, mango, vanilla, orange, cherry dried, rose, vergamot, floral, Structured, citric, crisp, bright, complex, phosphoric, tartaric, refined, bright, winey, rose , Tasted like a Kenya AB, round, smooth, balanced, transparent, velvety, creamy, silky, perfect balance with great body",91.44
"Pink fruit, hibiscus, lime, pineapple, melon, cranberry, floral, macadamia nut, flor de jamica, nougat, Hibiscus, lime, citrus, persistent , Creamy, super sweet, super clean, outstanding",91.43
"Pink fruit, hibiscus, lime, pineapple, melon, cranberry, floral, macadamia nut, flor de jamica, nougat, Hibiscus, lime, citrus, persistent , Creamy, super sweet, super clean, outstanding",91.43
"cotton candy/fairy floss, plum, blueberry, black current, raspberry, red jelly, pineapple, wine, spice, grape, wine, boozy/intoxicating, jasmine, mango, black tea, stone fruits, raison, exotic multi-dimensional, balsamic, bright, sparkling, luminous, complex, structured, complete , juicy, sweet, long tannic, complex and harmonious.Body: creamy, big round, velvet",91.41
"cinnamon, spicy, pumpkin pie, potpourri, fresh peas, black tea, black cherry, bergamot, jasmine, elegant, lively, lime, crisp, pineapple, tangy, tart , silky creamy mouth feel, complex, multi dimensional, long pleasant aftertaste, consistent from hot to cold.",91.41
"floral, jasmine, peach, poached fruit, baked apple, grape, cranberry, raspberry, rhubarb, sweet tomato, molasses, honey, brown sugar, tamarind, chocolate, roibioos tea, malic, tartaric, tight, elegant, well structured , silky finish, dense well balanced, long after taste elegant",91.4
"perfume, jasmine, orange blossom, blueberry, marmalade, wine, green apple, cherry, passionfruit, apricot, cranberry, black cherry, tangerine, transparent, crisp, citric, grape-like, raspberry-like, elegant , balanced creamy body, buttery, syrupy, juicy, savory, molasses, wine-like character",91.38
"melon, strawberry, raspberry, black plum, tangerine, honey, chocolate rum, apricot, guava, jackfruit, passion fruit, grapefruit, sweet cherry, maple syrup, sweet melon, sweet tobacco, tamarind, structured, multi-dimensional, long lasting, refined, silky, round, piquant , rum, balanced, clarity",91.36
"vanilla bean, peach, red apple, muscat, melon, super complex, guava, chinese pear, aprciot, raspberry, bluberry, honey, honey dew melon, cardomom, fig and prune, strawberry milk honey, creamy, delicate, clear, pineapple, lactic, rosehip , body extended, yellow to red fruit, plum and strawberry, thick, very complex, smooth, elegant, clean fruit flavors, well balanced",91.35
"Nectarine, meyer lemon, floral, jasmine, sugarcane, honeysuckle, orange, perfume, lychee, Citric, complex, delicate, clean, apple juice, consistent , Fruity aftertaste, long finish, orange blossom, minty, complex",91.35
"Gesha like, tangerine, orange peel, orange blossom, black current, peach, jasmine chamomile, golden floral, complex VERY, watermelon, tropical, mandarin , Body: creamy heavy, sophisticated, transparent aftertaste, elegant",91.31
"cherry, jasmine, floral, peach, pecan, apple, sweet spice, ginger, dark chocolate, pineapple, passion fruit, hibiscus, winey, citric, ripe melon, syrupy, lively , lingering caramel finish, orange, balanced and improved as it cooled",91.31
"Lavender, jasmine, rose, honeydew, bergamot, mango, black currant, lemon peel, vanilla, maple syrup, white prunes, caramel apple, Tartaric, malic, very complex, refined, soothing acidity , Starts as a red apple and turns into a green as cooled, rounded and structured, delicate, syrupy, transparent",91.29
"Lavender, jasmine, rose, honeydew, bergamot, mango, black currant, lemon peel, vanilla, maple syrup, white prunes, caramel apple, Tartaric, malic, very complex, refined, soothing acidity , Starts as a red apple and turns into a green as cooled, rounded and structured, delicate, syrupy, transparent",91.29
"Strawberry, apple, chamomile, orange, jasmine, orange, complex, mint, green apple, green grape, lemon meringue, creamy and smooth mouthfeel., Malic, citric, white grapes, lactic. , Opened up on cool, improved, silky, smooth.",91.28
"Strawberry, apple, chamomile, orange, jasmine, orange, complex, mint, green apple, green grape, lemon meringue, creamy and smooth mouthfeel., Malic, citric, white grapes, lactic. , Opened up on cool, improved, silky, smooth.",91.28
"Floral, bergamot, herbal, jasmine, lemon grass, green tea, apricot, milk chocolate spiced plum, lemon cake, clove perfume, Raspberry, citric, sparkling, lemon, orange, elegant, exotic, phosphoric , Transparent, crystal clear, amazing aromatics, elegant, creamy finish",91.28
"Floral, bergamot, herbal, jasmine, lemon grass, green tea, apricot, milk chocolate spiced plum, lemon cake, clove perfume, Raspberry, citric, sparkling, lemon, orange, elegant, exotic, phosphoric , Transparent, crystal clear, amazing aromatics, elegant, creamy finish",91.28
"Butter, brown sugar, caramel, honey, sugar cane, red apple., Crispy, orange, refreshing, grapefruit. , Smooth, sticky mouth, flower and citrus.",91.28
"Butter, brown sugar, caramel, honey, sugar cane, red apple., Crispy, orange, refreshing, grapefruit. , Smooth, sticky mouth, flower and citrus.",91.28
"jasmine, orange chocolate, stewed fruit, dried fruits, mango, peach, apricot, tropical fruit, guava, yellow apple, cherry, raspberry, blueberry, honey, clove, allspice, tangerine, stone fruit, complex fruit acidity, soft , chewy, sweet, lingering sweetness, milky chocolate, smooth finish",91.25
"apricot, red jam, melon, molasses, floral, lime, cinamon, stonefruits, honey, mango, cherry, plumb, cascarra, green apple, sweet chocolate, caramel, red grape, apple, blackberry, green tea, white wine, Japanese cherry, dark grape, crisp, vibrant, very complex, bright, orange, green apple , very sweet, very clean, long finish, beautiful body, sweet finish, high impact, juicy, refined",91.22
"umami, dark cherry, cola, passion fruit, rose, radiant, melon, cedar, mango, lemon-lime, raisin, lychee, blackcurrant, nectarine, dark fruit, spicy, dried fruit, red grapes, phosphoric, malic, tartaric, complex, lactic, , velvety, juicy, balanced, tangy, creamy body, explosive, cognac, intense, bright, resinous, complex, jammy",91.2
"umami, dark cherry, cola, passion fruit, rose, radiant, melon, cedar, mango, lemon-lime, raisin, lychee, blackcurrant, nectarine, dark fruit, spicy, dried fruit, red grapes, phosphoric, malic, tartaric, complex, lactic, , velvety, juicy, balanced, tangy, creamy body, explosive, cognac, intense, bright, resinous, complex, jammy",91.2
